Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Variant Image
aero-race-6.0-jersey,AERO RACE 6.0 JERSEY,"L'aérodynamisme de classe supérieure n'est que le début. Ce maillot est conçu pour un confort tout au long de la journée avec une excellente gestion de l'humidité, un ajustement confortable et trois poches de taille pleine pour le chargement.",Castelli,,AERO RACE 6.0 JERSEY,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",aero-race-6.0-jersey-m,131 g,deny,25,manual,,"93,72 €","124,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523009-383.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1NTF8aW1hZ2UvanBlZ3xoN2EvaDFjLzkwOTk0MTg5MjcxMzQvMDFfNDUyMzAwOV8zODMuanBnfDQ2ZjQ2MjNmMzliZmMzNDJkMTMzYzY3YTliOGExNGZiMzJmMDFiYjBjYTAxNGZkZTgxZGFjNWMxNWYyYTM2YTA,AERO RACE 6.0 JERSEY Image,https://castellicycling.kleecks-cdn.com/medias/01-4523009-383.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1NTF8aW1hZ2UvanBlZ3xoN2EvaDFjLzkwOTk0MTg5MjcxMzQvMDFfNDUyMzAwOV8zODMuanBnfDQ2ZjQ2MjNmMzliZmMzNDJkMTMzYzY3YTliOGExNGZiMzJmMDFiYjBjYTAxNGZkZTgxZGFjNWMxNWYyYTM2YTA
climber's-3.0-sl2-jersey,CLIMBER'S 3.0 SL2 JERSEY,"Créé pour les journées les plus chaudes où l'aérodynamisme reste important. Ce maillot permet un flux d'air ample, sèche rapidement et bloque plus de 90% des rayons UV sur votre dos. Un excellent choix pour les longues sorties d'été ou les sorties à midi en plein été - ou ajoutez simplement une couche de base et il devient un maillot de trois saisons.",Castelli,,CLIMBER'S 3.0 SL2 JERSEY,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",climber's-3.0-sl2-jersey-m,107 g,deny,25,manual,,"74,97 €","99,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523012-034.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1ODR8aW1hZ2UvanBlZ3xoZGMvaGExLzkwNDc4ODMyMTg5NzQvMDFfNDUyMzAxMl8wMzQuanBnfGZjNjM2ZGI4MzllZjk0NWRhYTVmZWE5ZTM4NzA4YzE2NDE5NGRjNDI4NTUxZGRlMWJjMDM4NDJmY2Y5OTk3ZTI,CLIMBER'S 3.0 SL2 JERSEY Image,https://castellicycling.kleecks-cdn.com/medias/01-4523012-034.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDY1ODR8aW1hZ2UvanBlZ3xoZGMvaGExLzkwNDc4ODMyMTg5NzQvMDFfNDUyMzAxMl8wMzQuanBnfGZjNjM2ZGI4MzllZjk0NWRhYTVmZWE5ZTM4NzA4YzE2NDE5NGRjNDI4NTUxZGRlMWJjMDM4NDJmY2Y5OTk3ZTI
superleggera-3-jersey,SUPERLEGGERA 3 JERSEY,"Particulièrement performant les jours de forte chaleur, le maillot Superleggera Jersey est tellement léger que vous le sentirez à peine. C’est le maillot qui vous apportera le plus de confort pendant la belle saison ou par temps chaud.",Castelli,,SUPERLEGGERA 3 JERSEY,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",superleggera-3-jersey-m,117 g,deny,25,manual,,"129,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523011-030.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDYzMjR8aW1hZ2UvanBlZ3xoNGMvaDZiLzkwOTk0MTkxNTY1MTAvMDFfNDUyMzAxMV8wMzAuanBnfDYxMDFhMmUxMTUwNWUyZmFjZjlmMDEwZjNhYjk4ZWNkZWFhOTBkYzk2MGNmYjVlZDM5NzQ5Y2FmN2E0MzIxZTE,SUPERLEGGERA 3 JERSEY Image,https://castellicycling.kleecks-cdn.com/medias/01-4523011-030.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDYzMjR8aW1hZ2UvanBlZ3xoNGMvaDZiLzkwOTk0MTkxNTY1MTAvMDFfNDUyMzAxMV8wMzAuanBnfDYxMDFhMmUxMTUwNWUyZmFjZjlmMDEwZjNhYjk4ZWNkZWFhOTBkYzk2MGNmYjVlZDM5NzQ5Y2FmN2E0MzIxZTE
free-aero-rc-bibshort,FREE AERO RC BIBSHORT,"Le mélange parfait de confort et de vitesse. Conçu pour les courses de haut niveau, ce qui le rend également extrêmement confortable pour chaque balade et chaque cycliste.",Castelli,,FREE AERO RC BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",free-aero-rc-bibshort-m,224 g,deny,25,manual,,"179,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522000-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU3OTN8aW1hZ2UvanBlZ3xoNTUvaDcyLzkwMzgxNjA1MjczOTAvMDFfNDUyMjAwMF8wMTAuanBnfGI3MjQzYjA1ZDIzY2M0ZGRjMTg3Y2NkYmNiODE2MDNkZjI0MmQxNzBkNDM4OTA2MjQ5NDgxMWRmOTZmN2NjOWY,FREE AERO RC BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4522000-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU3OTN8aW1hZ2UvanBlZ3xoNTUvaDcyLzkwMzgxNjA1MjczOTAvMDFfNDUyMjAwMF8wMTAuanBnfGI3MjQzYjA1ZDIzY2M0ZGRjMTg3Y2NkYmNiODE2MDNkZjI0MmQxNzBkNDM4OTA2MjQ5NDgxMWRmOTZmN2NjOWY
free-aero-rc-classic-bibshort,FREE AERO RC CLASSIC BIBSHORT,"Le mélange parfait de confort et de vitesse. Il est conçu pour les courses de haut niveau, ce qui le rend également extrêmement confortable pour chaque coup de pédale et chaque cycliste.",Castelli,,FREE AERO RC CLASSIC BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",free-aero-rc-classic-bibshort-m,229 g,deny,25,manual,,"142,47 €","189,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523001-030.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUyODB8aW1hZ2UvanBlZ3xoMTcvaDg2LzkwNDc4NzI3NjU5ODIvMDFfNDUyMzAwMV8wMzAuanBnfDUxMGU2NWMwMTk3NjE3Mjc2ZTM4MDkxMDZlMjdkNjUxZjU0OGJmZTc4YzJlNTRjY2RhZTdiZTJkNmVlMzVlYjA,FREE AERO RC CLASSIC BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4523001-030.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUyODB8aW1hZ2UvanBlZ3xoMTcvaDg2LzkwNDc4NzI3NjU5ODIvMDFfNDUyMzAwMV8wMzAuanBnfDUxMGU2NWMwMTk3NjE3Mjc2ZTM4MDkxMDZlMjdkNjUxZjU0OGJmZTc4YzJlNTRjY2RhZTdiZTJkNmVlMzVlYjA
superleggera-bibshort,SUPERLEGGERA BIBSHORT,"Le cuissard de route le plus léger que nous ayons jamais créé, bénéficie de notre tout premier tissu extensible sans couture à ventilation graduée, créant à la fois un cuissard incroyablement léger, qui conserve votre fraîcheur et offrant un bon soutien pour les sorties plus longues.",Castelli,,SUPERLEGGERA BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",superleggera-bibshort-m,157 g,deny,25,manual,,"199,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4520004-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU0NDl8aW1hZ2UvanBlZ3xoNjIvaGU1LzkwMzgxMTY3NDkzNDIvMDFfNDUyMDAwNF8wMTAuanBnfDk0YWY5MTY2ZTgyYWM0MTQ2YmRkMmZjNDM3MDc0M2M4MzYyNTM3NTc2NTJhOTFkYjY0NmFhMDdlMmQ3ZTkwNzQ,SUPERLEGGERA BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4520004-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU0NDl8aW1hZ2UvanBlZ3xoNjIvaGU1LzkwMzgxMTY3NDkzNDIvMDFfNDUyMDAwNF8wMTAuanBnfDk0YWY5MTY2ZTgyYWM0MTQ2YmRkMmZjNDM3MDc0M2M4MzYyNTM3NTc2NTJhOTFkYjY0NmFhMDdlMmQ3ZTkwNzQ
free-aero-rc-short,FREE AERO RC SHORT,"The perfect mix of comfort and speed. Engineered for top-level racing, which also makes it supremely comfortable for every ride and rider.",Castelli,,FREE AERO RC SHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",free-aero-rc-short-m,204 g,deny,25,manual,,"159,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522001-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUzNDJ8aW1hZ2UvanBlZ3xoZDEvaDc0Lzg4MDExODQ5MDcyOTQvMDFfNDUyMjAwMV8wMTAuanBnfDI2NTQ0ODBiNTVlZWNmYzU1NDgzYTcwM2UxYWFiZTJmMzM2NGYwODY1MmU3YjU0YTk3YmExZjdkNmU5MTM4NzQ,FREE AERO RC SHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4522001-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUzNDJ8aW1hZ2UvanBlZ3xoZDEvaDc0Lzg4MDExODQ5MDcyOTQvMDFfNDUyMjAwMV8wMTAuanBnfDI2NTQ0ODBiNTVlZWNmYzU1NDgzYTcwM2UxYWFiZTJmMzM2NGYwODY1MmU3YjU0YTk3YmExZjdkNmU5MTM4NzQ
free-aero-rc-kit-bibshort,FREE AERO RC KIT BIBSHORT,"Le mélange parfait de confort et de vitesse. Il est conçu pour les courses de haut niveau, ce qui le rend également extrêmement confortable pour chaque coup de pédale et chaque cycliste.",Castelli,,FREE AERO RC KIT BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",free-aero-rc-kit-bibshort-m,205 g,deny,25,manual,,"134,97 €","179,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523002-123.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxOTR8aW1hZ2UvanBlZ3xoODgvaDNmLzkwNDc4NzQzMzg4NDYvMDFfNDUyMzAwMl8xMjMuanBnfGZmYzZjNTg1OTFkZjM2OTk3NDUxZDFlNDhkYjNmZjc3ZDU1MGJmY2FmYzgyZmIyOGI4OTZhOWM5NTVkMjAzZjI,FREE AERO RC KIT BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4523002-123.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxOTR8aW1hZ2UvanBlZ3xoODgvaDNmLzkwNDc4NzQzMzg4NDYvMDFfNDUyMzAwMl8xMjMuanBnfGZmYzZjNTg1OTFkZjM2OTk3NDUxZDFlNDhkYjNmZjc3ZDU1MGJmY2FmYzgyZmIyOGI4OTZhOWM5NTVkMjAzZjI
premio-black-bibshort,PREMIO BLACK BIBSHORT,"Conception innovante pour un confort, un soutien, une vitesse et une résistance ultimes en longues distances.",Castelli,,PREMIO BLACK BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",premio-black-bibshort-m,152 g,deny,25,manual,,"249,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4521002-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUzNTF8aW1hZ2UvanBlZ3xoNWMvaDQxLzkwMzgxMzk2MjE0MDYvMDFfNDUyMTAwMl8wMTAuanBnfDVmMjM3Nzg0YzA4ZDgyMjJmZDM2NjkyMWQzZGYxZDQ0ZGNiYmVhMjU5MzFlOGY3OGY4MDcxNzk1NGNjODliOTQ,PREMIO BLACK BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4521002-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUzNTF8aW1hZ2UvanBlZ3xoNWMvaDQxLzkwMzgxMzk2MjE0MDYvMDFfNDUyMTAwMl8wMTAuanBnfDVmMjM3Nzg0YzA4ZDgyMjJmZDM2NjkyMWQzZGYxZDQ0ZGNiYmVhMjU5MzFlOGY3OGY4MDcxNzk1NGNjODliOTQ
endurance-3-bibshort,ENDURANCE 3 BIBSHORT,Confortable même pendant chacun de vos entraînements d'endurance grâce à la peau de chamois Castelli la plus confortable.,Castelli,,ENDURANCE 3 BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",endurance-3-bibshort-m,206 g,deny,25,manual,,"139,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4521005-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU1OTV8aW1hZ2UvanBlZ3xoNDYvaDNkLzkwMzgxMzk3ODUyNDYvMDFfNDUyMTAwNV8wMTAuanBnfDM2ODVjMmNmNWVhYzNmMTc2YzliMjZmZDY4Nzc5YmE3NzAxNGM4ZTU3MjFkOTQzYmQwNTYxY2M2MzYwYjI2ZjY,ENDURANCE 3 BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4521005-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU1OTV8aW1hZ2UvanBlZ3xoNDYvaDNkLzkwMzgxMzk3ODUyNDYvMDFfNDUyMTAwNV8wMTAuanBnfDM2ODVjMmNmNWVhYzNmMTc2YzliMjZmZDY4Nzc5YmE3NzAxNGM4ZTU3MjFkOTQzYmQwNTYxY2M2MzYwYjI2ZjY
endurance-3-short,ENDURANCE 3 SHORT,Endurance-level comfort for every ride with Castelli's most comfortable seat pad.,Castelli,,ENDURANCE 3 SHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",endurance-3-short-m,199 g,deny,25,manual,,"119,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4521006-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxNjd8aW1hZ2UvanBlZ3xoMTQvaGI5Lzg4MDExNTg2MjczNTgvMDFfNDUyMTAwNl8wMTAuanBnfGM3NGExNGNlYzQ4ZTQ3MzZmYzAyZjU2OTMwYTQzODJlNmZhODZjMWNiNTJkODZjNzAwYWY4ZmZmNzE1M2Y1NzU,ENDURANCE 3 SHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4521006-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxNjd8aW1hZ2UvanBlZ3xoMTQvaGI5Lzg4MDExNTg2MjczNTgvMDFfNDUyMTAwNl8wMTAuanBnfGM3NGExNGNlYzQ4ZTQ3MzZmYzAyZjU2OTMwYTQzODJlNmZhODZjMWNiNTJkODZjNzAwYWY4ZmZmNzE1M2Y1NzU
competizione-bibshort,COMPETIZIONE BIBSHORT,"Ce cuissard excelle à de nombreux niveaux en évitant toutefois d'en faire trop. Avec ses tissus de qualité, sa coupe parfaite, ses coutures plates, sa peau de chamois KISS Air2 et ses bandes de maintien autour des jambes, il partage certaines caractéristiques de notre cuissard à bretelles Free Aero Race 4 pour les pros.",Castelli,,COMPETIZIONE BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",competizione-bibshort-m,205 g,deny,25,manual,,"99,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4520006-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU3NTh8aW1hZ2UvanBlZ3xoMzQvaGU5LzkwMzgxMTY4ODA0MTQvMDFfNDUyMDAwNl8wMTAuanBnfGM3MmEyYWMwZGVlYzdiN2YwNWFkMTRjYjg0NjZmMTkzYmUxODZkYzZlNTc2NjBiZmE3MzRjMjY0YjE3N2MxOTE,COMPETIZIONE BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4520006-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU3NTh8aW1hZ2UvanBlZ3xoMzQvaGU5LzkwMzgxMTY4ODA0MTQvMDFfNDUyMDAwNl8wMTAuanBnfGM3MmEyYWMwZGVlYzdiN2YwNWFkMTRjYjg0NjZmMTkzYmUxODZkYzZlNTc2NjBiZmE3MzRjMjY0YjE3N2MxOTE
competizione-short,COMPETIZIONE SHORT,"This short is made to do everything right without overdoing anything. Quality fabrics, great fit, flat-lock stitching, KISS Air2 seat pad, and GIRO4 leg grippers",Castelli,,COMPETIZIONE SHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",competizione-short-m,175 g,deny,25,manual,,"89,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4520007-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUyNTd8aW1hZ2UvanBlZ3xoNzUvaGExLzg4MDExMzQwODQxMjYvMDFfNDUyMDAwN18wMTAuanBnfDI3NWI4NGRjYzBmZDM1YWZhZjk2MmI1ZWYwNzNlMDVmOTEzYzcxZjRiNWUyNGI1NTk3MDhiMjE0MGM0ZDZmZTc,COMPETIZIONE SHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4520007-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUyNTd8aW1hZ2UvanBlZ3xoNzUvaGExLzg4MDExMzQwODQxMjYvMDFfNDUyMDAwN18wMTAuanBnfDI3NWI4NGRjYzBmZDM1YWZhZjk2MmI1ZWYwNzNlMDVmOTEzYzcxZjRiNWUyNGI1NTk3MDhiMjE0MGM0ZDZmZTc
competizione-kit-bibshort,COMPETIZIONE KIT BIBSHORT,"This short is made to do everything right without overdoing anything. Quality fabrics, great fit, flat-lock stitching, KISS Air2 seat pad, and GIRO4 leg grippers",Castelli,,COMPETIZIONE KIT BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",competizione-kit-bibshort-m,189 g,deny,25,manual,,"99,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522003-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU2NzZ8aW1hZ2UvanBlZ3xoYjkvaGYzLzkwNjExMzc2MTI4MzAvMDFfNDUyMjAwM18wMTAuanBnfDllZWRkZDg2Mzg3YTYyMmI0NjhjOGVlYjUzOTMxNGY3MDM1N2Q5NGM1ZjMxYWUxNGRkYTc0NTBmNWUxZWE3YWU,COMPETIZIONE KIT BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4522003-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU2NzZ8aW1hZ2UvanBlZ3xoYjkvaGYzLzkwNjExMzc2MTI4MzAvMDFfNDUyMjAwM18wMTAuanBnfDllZWRkZDg2Mzg3YTYyMmI0NjhjOGVlYjUzOTMxNGY3MDM1N2Q5NGM1ZjMxYWUxNGRkYTc0NTBmNWUxZWE3YWU
entrata-2-bibshort,ENTRATA 2 BIBSHORT,"Pour pouvoir arborer le logo du scorpion, un cuissard doit offrir des caractéristiques exceptionnelles même s’il s’agit d’une entrée de gamme. Alliant tissus de qualité, structure à huit panneaux et notre peau de chamois KISS Air2, ce short met l’accent sur le confort et la résistance.",Castelli,,ENTRATA 2 BIBSHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",entrata-2-bibshort-m,202 g,deny,25,manual,,"99,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523003-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUwOTZ8aW1hZ2UvanBlZ3xoOWEvaGFjLzkwNDc4NzU0MjAxOTAvMDFfNDUyMzAwM18wMTAuanBnfGRmNTE3ZjcwYzA1OGMwNzg5NGU1ZDU3Y2I0NmEwNzA0NDk4NWNlM2NkNDFhODIxM2IwOGI3OGMzNmU4MGRiOTc,ENTRATA 2 BIBSHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4523003-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUwOTZ8aW1hZ2UvanBlZ3xoOWEvaGFjLzkwNDc4NzU0MjAxOTAvMDFfNDUyMzAwM18wMTAuanBnfGRmNTE3ZjcwYzA1OGMwNzg5NGU1ZDU3Y2I0NmEwNzA0NDk4NWNlM2NkNDFhODIxM2IwOGI3OGMzNmU4MGRiOTc
entrata-2-short,ENTRATA 2 SHORT,"Pour pouvoir arborer le logo du scorpion, un cuissard doit offrir des caractéristiques exceptionnelles même s’il s’agit d’une entrée de gamme. Alliant tissus de qualité, structure à huit panneaux et notre peau de chamois KISS Air2, ce short met l’accent sur le confort et la résistance.",Castelli,,ENTRATA 2 SHORT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",entrata-2-short-m,198 g,deny,25,manual,,"89,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523004-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxNDJ8aW1hZ2UvanBlZ3xoOWMvaGYzLzkwNDc4NzYxNDEwODYvMDFfNDUyMzAwNF8wMTAuanBnfGRjYmIzNjk4ZWViYTdhNTg3ZmNkZjYyYWEzMWE5ZGJjNzk5MTY1NjU3NDFlYjU4MTcwMzY2MzQwNzRhZDFjMTc,ENTRATA 2 SHORT Image,https://castellicycling.kleecks-cdn.com/medias/01-4523004-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxNDJ8aW1hZ2UvanBlZ3xoOWMvaGYzLzkwNDc4NzYxNDEwODYvMDFfNDUyMzAwNF8wMTAuanBnfGRjYmIzNjk4ZWViYTdhNTg3ZmNkZjYyYWEzMWE5ZGJjNzk5MTY1NjU3NDFlYjU4MTcwMzY2MzQwNzRhZDFjMTc
entrata-2-bibknicker,ENTRATA 2 BIBKNICKER,"Pour pouvoir arborer le logo du scorpion, un cuissard 3/4 doit offrir des caractéristiques exceptionnelles même s’il s’agit d’une entrée de gamme. Alliant tissus de qualité, structure à huit panneaux et notre peau de chamois KISS Air2, ce cuissard 3/4 met l’accent sur le confort et la résistance.",Castelli,,ENTRATA 2 BIBKNICKER,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",entrata-2-bibknicker-m,221 g,deny,25,manual,,"109,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523005-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxMTB8aW1hZ2UvanBlZ3xoODEvaGQ4LzkwNDc4NzY5Mjc1MTgvMDFfNDUyMzAwNV8wMTAuanBnfGE1OWRjNTNmMTNkMzY2ZDZhMmI3NjM5ZmYyNGVmMjM4MDJkNGFiNjMwNjIwYWFjNGI5YzQxMjkwNWJjODBkOWM,ENTRATA 2 BIBKNICKER Image,https://castellicycling.kleecks-cdn.com/medias/01-4523005-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDUxMTB8aW1hZ2UvanBlZ3xoODEvaGQ4LzkwNDc4NzY5Mjc1MTgvMDFfNDUyMzAwNV8wMTAuanBnfGE1OWRjNTNmMTNkMzY2ZDZhMmI3NjM5ZmYyNGVmMjM4MDJkNGFiNjMwNjIwYWFjNGI5YzQxMjkwNWJjODBkOWM
btw-speed-suit,BTW SPEED SUIT,"CFD and significant testing create the fastest road racing suit, optimized for high speeds when the race splits apart.",Castelli,,BTW SPEED SUIT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",btw-speed-suit-m,273 g,deny,25,manual,,"224,97 €","299,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4522004-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU1Nzl8aW1hZ2UvanBlZ3xoYjIvaGQwLzg4MDExODg4Mzk0NTQvMDFfNDUyMjAwNF8wMTAuanBnfDZkYjRjYTAyOTAxMTljMGE1YzMyYTI0NGYzOGFhYmMwNTAyYTY2ZjlkYjk1OTAwYjUyYWEwYTg3YzUzNTJlMmI,BTW SPEED SUIT Image,https://castellicycling.kleecks-cdn.com/medias/01-4522004-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU1Nzl8aW1hZ2UvanBlZ3xoYjIvaGQwLzg4MDExODg4Mzk0NTQvMDFfNDUyMjAwNF8wMTAuanBnfDZkYjRjYTAyOTAxMTljMGE1YzMyYTI0NGYzOGFhYmMwNTAyYTY2ZjlkYjk1OTAwYjUyYWEwYTg3YzUzNTJlMmI
sanremo-rc-speed-suit,SANREMO RC SPEED SUIT,"Cette combinaison adaptée à la vitesse offre l’aérodynamisme d’une tenue tout-terrain avec tout le confort, la fonctionnalité et la gestion de l’humidité dont vous avez besoin sur la route. Elle est le fruit de plus de dix ans de développement sur les routes du WorldTour.",Castelli,,SANREMO RC SPEED SUIT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",sanremo-rc-speed-suit-m,253 g,deny,25,manual,,"194,97 €","259,95 €",TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523006-085.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU1NTd8aW1hZ2UvanBlZ3xoZWYvaDg1LzkwNDc4NzcyODc5NjYvMDFfNDUyMzAwNl8wODUuanBnfDRkYTFiNTJkMTlmMzFlMzc3MzE4NWUyMmE2Y2RhYjQzY2U1MTM2MmE5ZTM5OTI4YjY1MjFlZjNlNjdjZGNjMDk,SANREMO RC SPEED SUIT Image,https://castellicycling.kleecks-cdn.com/medias/01-4523006-085.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU1NTd8aW1hZ2UvanBlZ3xoZWYvaDg1LzkwNDc4NzcyODc5NjYvMDFfNDUyMzAwNl8wODUuanBnfDRkYTFiNTJkMTlmMzFlMzc3MzE4NWUyMmE2Y2RhYjQzY2U1MTM2MmE5ZTM5OTI4YjY1MjFlZjNlNjdjZGNjMDk
body-paint-4.x-speed-suit,BODY PAINT 4.X SPEED SUIT,Simplement conçu pour être le costume le plus rapide pour les courses contre la montre.,Castelli,,BODY PAINT 4.X SPEED SUIT,TRUE,Size,"XS, S, M, L, XL, XXL, 3XL",body-paint-4.x-speed-suit-m,326 g,deny,25,manual,,"239,95 €",,TRUE,TRUE,https://castellicycling.kleecks-cdn.com/medias/01-4523007-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU3MjF8aW1hZ2UvanBlZ3xoYWQvaDFmLzkwNDc4NzgxNzI3MDIvMDFfNDUyMzAwN18wMTAuanBnfDQ2ZmM4YWI3NzY5YjFhN2I3Yzg4NDQ5MjU2MTA2MjBmYjg1Zjk3OGQ5YjRlODY3MmJkMTJlMDRlZGUzZWE0YTk,BODY PAINT 4.X SPEED SUIT Image,https://castellicycling.kleecks-cdn.com/medias/01-4523007-010.jpg?context=bWFzdGVyfGF6dXJlaW1hZ2VzfDU3MjF8aW1hZ2UvanBlZ3xoYWQvaDFmLzkwNDc4NzgxNzI3MDIvMDFfNDUyMzAwN18wMTAuanBnfDQ2ZmM4YWI3NzY5YjFhN2I3Yzg4NDQ5MjU2MTA2MjBmYjg1Zjk3OGQ5YjRlODY3MmJkMTJlMDRlZGUzZWE0YTk
